46,8,46,0,0
44,7,43,11,62
45,7,45,96,97
51,8,48,105,99
52,8,50,105,90
51,8,49,96,84
48,7,47,98,84
46,7,45,97,86
45,7,44,92,91
45,7,44,91,91
45,7,44,87,92
45,8,44,89,95
46,11,44,94,98
47,17,45,91,97
47,18,46,87,89
48,16,46,88,83
49,11,48,86,81
50,10,50,84,81
52,10,52,80,79
53,11,53,80,82
55,11,54,85,90
55,11,53,92,86
55,11,53,96,88
56,11,56,95,89
56,11,55,93,86
56,10,55,92,89
56,10,55,88,90
56,10,55,85,89
56,10,54,86,88
56,10,55,85,90
55,10,55,88,91
55,10,55,91,91
55,10,55,90,92
56,10,55,90,90
56,10,55,89,91
56,10,55,90,90
55,10,55,92,89
56,10,56,89,91
56,10,55,87,90
56,10,56,87,87
55,10,56,90,88
55,10,55,91,90
55,10,56,94,91
54,10,55,92,88
53,10,56,90,92
54,10,56,91,92
55,10,56,88,95
55,10,55,88,94
56,10,56,90,91
55,10,56,90,89
54,10,56,88,91
55,9,56,90,90
55,10,55,91,91
55,10,55,92,91
53,10,56,94,88
55,10,56,89,94
54,9,56,88,92
55,10,56,87,91
54,10,56,89,90
54,10,54,87,90
55,10,53,90,92
54,9,54,91,89
54,10,54,89,90
54,10,55,93,89
54,9,56,87,91
54,9,56,90,91
54,10,56,87,89
55,10,57,87,90
54,10,56,86,91
54,9,56,88,91
54,9,56,90,87
54,10,56,91,89
54,10,56,90,91
54,10,55,89,94
54,9,55,88,91
53,9,55,89,89
51,9,55,86,86
47,9,55,89,89
44,9,54,89,87
43,9,54,90,86
43,9,53,91,84
43,9,53,88,78
41,8,52,85,80
40,8,53,87,81
39,8,53,89,86
36,8,53,87,94
31,8,52,86,104
27,9,52,87,107
21,8,52,95,103
18,8,52,95,101
15,8,51,94,92
12,8,51,93,87
10,8,52,96,86
8,8,52,93,86
7,8,53,92,86
6,8,53,91,88
6,8,53,88,85
7,8,52,86,87
9,8,52,86,92
11,8,52,87,93
14,8,53,91,95
15,8,53,94,93
16,8,52,92,89
17,8,52,91,86
17,8,51,86,84
18,8,52,85,86
19,8,52,87,88
19,7,51,84,83
20,8,51,86,86
21,8,51,86,86
21,8,51,91,83
22,8,51,89,81
23,8,51,88,84
22,9,49,88,90
23,9,50,93,95
23,10,50,93,95
24,11,50,91,94
25,11,50,90,88
25,12,50,92,87
26,13,51,93,86
26,14,50,92,90
26,15,50,96,91
27,17,50,94,89
27,19,51,93,89
27,21,51,91,89
28,23,51,90,89
28,27,51,90,86
29,32,51,90,92
29,34,51,90,89
30,37,51,90,89
30,39,50,90,92
30,41,50,90,92
31,44,49,89,90
32,46,49,90,88
33,48,48,93,89
33,49,47,89,91
34,50,46,87,87
35,50,44,91,90
37,51,42,92,92
38,52,41,94,92
39,52,41,92,90
40,53,36,94,88
43,53,31,98,89
45,53,28,98,91
44,53,24,92,91
46,53,24,87,99
46,53,20,87,98
47,53,17,90,97
48,53,16,90,94
47,54,14,90,96
48,53,12,88,96
48,54,12,85,92
48,54,11,90,93
49,55,11,90,89
48,54,10,89,89
48,54,9,89,91
48,55,8,90,85
48,54,8,89,89
48,54,8,91,89
48,54,8,87,90
49,55,9,85,92
48,55,9,88,95
48,54,9,90,92
48,54,9,89,89
